FundingYear,TypeOfWork,TotalProjects,AvgSavings,OverrunRate(%),YoYChange(%)
"2021","Construction of Flood Mitigation Facility","4","1,887,789.89","0.00","0.00"
"2021","Construction of Drainage Structure","49","1,178,333.24","0.00","0.00"
"2021","Construction of Flood Mitigation Structure","398","1,047,173.07","11.56","0.00"
"2021","Construction of Slope Protection Structure","28","966,548.88","7.14","0.00"
"2021","Rehabilitation / Major Repair of Flood Control Structure","47","759,801.98","10.64","0.00"
"2021","Construction of Revetment","66","431,656.42","1.52","0.00"
"2021","Rehabilitation / Major Repair of Drainage Structure","11","380,416.11","9.09","0.00"
"2021","Construction of Cutoff Channel","1","196,492.23","0.00","0.00"
"2021","Construction of Dike","10","89,328.23","50.00","0.00"
"2021","Rehabilitation / Major Repair of Slope Protection Structure","5","-2,714,661.94","60.00","0.00"
"2022","Rehabilitation / Major Repair of Flood Mitigation Facility","1","4,370,780.74","0.00","0.00"
"2022","Construction of Slope Protection Structure","309","848,361.91","7.77","-12.23"
"2022","Rehabilitation / Major Repair of Slope Protection Structure","16","841,782.91","6.25","131.01"
"2022","Construction of Flood Mitigation Facility","43","829,713.74","20.93","-56.05"
"2022","Construction of Dike","76","772,732.76","6.58","765.05"
"2022","Construction of Groundsill","2","752,371.18","0.00","0.00"
"2022","Construction of Flood Mitigation Structure","2049","632,441.76","11.37","-39.60"
"2022","Construction of Drainage Structure","226","462,623.30","13.27","-60.74"
"2022","Construction of Revetment","269","460,817.62","1.86","6.76"
"2022","Rehabilitation / Major Repair of Drainage Structure","85","455,786.65","7.06","19.81"
"2022","Embankment","1","82,651.90","0.00","0.00"
"2022","Construction of Waterway","1","0.50","0.00","0.00"
"2022","Construction of Spur Dike","2","-99.94","50.00","0.00"
"2022","Rehabilitation / Major Repair of Flood Control Structure","255","-220,009.13","18.43","-128.96"
"2023","Construction of Flood Mitigation Facility","74","1,010,904.89","17.57","-46.45"
"2023","Rehabilitation / Major Repair of Slope Protection Structure","14","768,840.89","0.00","128.32"
"2023","Rehabilitation / Major Repair of Flood Mitigation Facility","5","742,935.05","0.00","0.00"
"2023","Rehabilitation / Major Repair of Flood Control Structure","220","703,436.67","8.18","-7.42"
"2023","Construction of Slope Protection Structure","196","547,223.53","5.61","-43.38"
"2023","Rehabilitation / Major Repair of Drainage Structure","72","532,518.76","1.39","39.98"
"2023","Construction of Waterway","1","356,123.39","0.00","0.00"
"2023","Construction of Flood Mitigation Structure","2294","322,796.81","9.42","-69.17"
"2023","Construction of Spur Dike","1","318,022.73","0.00","0.00"
"2023","Construction of Drainage Structure","244","265,674.69","5.33","-77.45"
"2023","Construction of Groundsill","9","235,146.99","0.00","0.00"
"2023","Construction of Cutoff Channel","1","198,580.99","0.00","1.06"
"2023","Construction of Revetment","236","131,144.22","3.39","-69.62"
"2023","Construction of Dike","97","22,179.13","1.03","-75.17"
"2023","Repair/Maintenance of Flood Control Structures","1","1,005.69","0.00","0.00"
"2023","Upgrading of Drainage Structure","1","0.00","0.00","0.00"